,name,alias,ra,dec,refs,discovery_date,hasPhot,hasSpec,json_path,z
74,2023clx,"['2023clx', 'ASASSN-23bd', 'ZTF18aabkvpi', 'AT2023clx']",175d02m21.0444s,15d19m38.55s,"['2024arXiv240111773C', '2024MNRAS.527.2452M', '2023TNSTR.421....1S', '2023TNSCR.438....1T']",59997.21,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2023clx.json,0.01107
75,AT2022upj,['AT2022upj'],5d59m12.9s,-14d25m23.4s,"['2024arXiv240611972N', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE']",2459822.878,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022upj.json,0.054
76,J133837,['J133837'],204d39m24s,57d31m13.2s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",2009-11-02 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/J133837.json,0.1269
77,2018hco,"['ATLAS18way', '2018hco', 'AT2018hco', 'ZTF18abxftqm']",16d53m24.15s,23d28m34.39s,"['2016A&A...594A..13P', 'MAST', '2017ApJ...835...64G', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2018TNSTR1509....1T', '2018TNSCR1902....1R']",8589-09-09 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/ZTF18abxftqm.json,0.088
78,SDSS_J2220,['SDSS_J2220'],335d13m55.968s,-7d53m17.8464s,"['2024arXiv240216951C', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE']",2001-10-21 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SDSS_J2220.json,0.149
79,J094608,['J094608'],146d32m07.35s,35d12m22.4s,"['2017arXiv171104577K', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",,False,False,/home/nfranz/radio-ecle/ecle-otter/J094608.json,0.119
80,2018jbv,"['PS19aoz', 'ATLAS19acl', 'ZTF18acnbpmd', '2018jbv', 'AT2018jbv']",197d41m23.2584s,8d34m04.2024s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2018TNSTR2038....1F']",58448.562997685185,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018jbv.json,0.34
81,2019dsg,"['ZTF19aapreis', 'ATLAS19klx', '2019dsg', 'AT2019dsg']",314d15m44.55s,14d12m15.86s,"['2021NatAs...5..510S', '2021ApJ...919..127C', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2019TNSTR.615....1N', '2019TNSCR.772....1S']",58582.46,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2019dsg.json,0.051
82,J113527,['J113527'],173d51m49.35s,39d28m10.7s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",2009-04-07 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/J113527.json,0.1084
83,2019qiz,"['2019qiz', 'AT2019qiz (= ZTF19abzrhgq)', 'AT2019qiz']",71d39m29.85s,-10d13m31.5s,"['2020arXiv200602454N', '2016A&A...594A..13P', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2020MNRAS.499..482N', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', ' 2019TNSTR1857....1F', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE', ' 2019TNSCR1921....1S']",2019-09-24 09:50:24.000,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2019qiz.json,0.01513
