name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J1342,1995-03-18,49794,mjd,,L,1.4,GHz,1.17085696547292,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1350,1995-03-18,49794,mjd,,L,1.4,GHz,1.28564983606339,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1402,1995-03-18,49794,mjd,,L,1.4,GHz,1.1505383590702,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1459,1995-03-18,49794,mjd,,L,1.4,GHz,1.50081922765821,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1715,1995-03-18,49794,mjd,,L,1.4,GHz,4.90687158890069,0,mJy,TRUE,NF,NVSS,True,
SDSS_J2220,1995-03-18,49794,mjd,,L,1.4,GHz,1.66458397870883,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1458,1995-03-18,49794,mjd,,L,1.4,GHz,1.68341270182282,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1238,1995-03-18,49794,mjd,,L,1.4,GHz,1.27304493798874,0,mJy,TRUE,NF,NVSS,True,
AT2017gge,1995-03-18,49794,mjd,,L,1.4,GHz,1.67031947057694,0,mJy,TRUE,NF,NVSS,True,
AT2022fpx,1995-03-18,49794,mjd,,L,1.4,GHz,0.853507546707988,0,mJy,TRUE,NF,NVSS,True,
AT2022upj,1995-03-18,49794,mjd,,L,1.4,GHz,1.20515117305331,0,mJy,TRUE,NF,NVSS,True,
AT2021dms,1995-03-18,49794,mjd,,L,1.4,GHz,1.14816165296361,0,mJy,TRUE,NF,NVSS,True,
AT2018bcb,1995-03-18,49794,mjd,,L,1.4,GHz,1.80325593100861,0,mJy,TRUE,NF,NVSS,True,
AT2020vdq,1995-03-18,49794,mjd,,L,1.4,GHz,0.994657835690305,0,mJy,TRUE,NF,NVSS,True,
AT2021qth,1995-03-18,49794,mjd,,L,1.4,GHz,1.11507085966878,0,mJy,TRUE,NF,NVSS,True,
