name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J0952,2017 June 18,57922.76108,mjd,C,L1,1.255,GHz,99.7,43.6,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0952,2017 June 18,57922.76108,mjd,C,L2,1.644,GHz,101.2,33.5,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0952,2017 June 18,57922.76108,mjd,C,L (all),1.45,GHz,110,27.3,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0952,2017 June 18,57922.76108,mjd,C,C (IF 1-8),4.999,GHz,192.048,0,uJy,TRUE,Noah Franz,17A-368,FALSE,
SDSS_J0952,2017 June 18,57922.76108,mjd,C,C (IF 9-16),7.099,GHz,43.665,0,uJy,TRUE,Noah Franz,17A-368,FALSE,
SDSS_J0952,2017 June 18,57922.76108,mjd,C,C (all_3bit),5.957,GHz,105.087,0,uJy,TRUE,Noah Franz,17A-368,TRUE,
SDSS_J0952,2021-12-01 9:23:36,59549.39139,mjd,B,S,3,GHz,0.3595624949,0,mJy,TRUE,VLASS 2.2,VLASS 2.2,TRUE,
SDSS_J0952,2019-04-19 0:22:54,58592.0159,mjd,B,S,3,GHz,0.4627251776,0.144039447,mJy,FALSE,VLASS 1.2,VLASS 1.2,TRUE,
SDSS_J0952,2024-04-30 1:03:38,60430.04419,mjd,B,S,3,GHz,0.3715215026,0,mJy,TRUE,VLASS 3.2,VLASS 3.2,TRUE,
SDSS_J1055,2016 March 12,57459.00021,mjd,C,C (IF 1-8),4.999,GHz,38.2,13.9,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1055,2016 March 12,57459.00021,mjd,C,C (IF 9-16),7.099,GHz,30.5,12.2,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1055,2016 March 12,57459.00021,mjd,C,C (all_8bit),5.957,GHz,34,10,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1055,2020-08-21 22:49:26,59082.95099,mjd,B,S,3,GHz,0.3186051706,0,mJy,TRUE,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J1055,2020-08-21 22:49:26,59082.95099,mjd,B,S,3,GHz,0.3556422334,0,mJy,TRUE,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J1055,2023-02-07 12:25:37,59982.51779,mjd,B,S,3,GHz,0.3319307097,0,mJy,TRUE,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J1055,2017-09-26 12:10:07,58022.50702,mjd,B,S,3,GHz,0.3673826889,0,mJy,TRUE,VLASS 1.1,VLASS 1.1,TRUE,
