,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.2041076134956838e+18,3.122313086157491e+48,1394406036554752.0,7.509917830980248e+45,1394406036554752.0,7.509917830980248e+45,7
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,3.775976052507617e+19,1.8990077013635165e+49,2.447550513875796e+18,1.3888440715909653e+48,2.447550513875796e+18,1.3888440715909653e+48,7
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,7.528229186312985e+18,3.2149680514276957e+49,2.028654599487365e+17,1.601338918976325e+48,2.028654599487365e+17,1.601338918976325e+48,7
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,7.110411712344662e+18,4.0645028719343027e+49,3.532286171460782e+17,2.8536988532489713e+48,3.532286171460782e+17,2.8536988532489713e+48,7
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.2483546069432185e+19,7.027773512123861e+49,4.5934034484332954e+17,3.3547886096350894e+48,4.5934034484332954e+17,3.3547886096350894e+48,7
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,6.858695121692482e+18,3.746159268413581e+48,5.2139564488754586e+17,3.4905757676054968e+47,5.2139564488754586e+17,3.4905757676054968e+47,7
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.5533077765500002e+19,5.294467666178916e+48,1.2305062463791657e+18,6.043740053231849e+47,1.2305062463791657e+18,6.043740053231849e+47,7
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.710514614179851e+18,8.640240079877113e+48,1.1410859946954906e+17,3.880864880511038e+47,1.1410859946954906e+17,3.880864880511038e+47,8
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.8395054530963594e+18,4.4963342145089576e+48,3406969097014784.0,2.126786947751671e+46,3406969097014784.0,2.126786947751671e+46,8
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.2809063072159857e+18,2.119093631395264e+48,1668119791713792.0,6.014759581136402e+45,1668119791713792.0,6.014759581136402e+45,8
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,4.0844696945431e+19,1.4976993717244484e+49,2.591402902243672e+18,1.0595475058771791e+48,2.591402902243672e+18,1.0595475058771791e+48,8
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,8.031806627775793e+18,2.242670520518869e+49,2.26470751497642e+17,1.1824660465002183e+48,2.26470751497642e+17,1.1824660465002183e+48,8
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,7.608750556782383e+18,2.9361659520676653e+49,3.420307970595553e+17,2.038190150051169e+48,3.420307970595553e+17,2.038190150051169e+48,8
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.3324959371071177e+19,5.105829092234908e+49,5.18542809006549e+17,2.282539959906599e+48,5.18542809006549e+17,2.282539959906599e+48,8
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,7.395132605276443e+18,2.8364330691475123e+48,5.769752497710469e+17,2.9182246966143262e+47,5.769752497710469e+17,2.9182246966143262e+47,8
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.6773254154551419e+19,4.090002299369452e+48,1.5770504497991926e+18,4.209349972768669e+47,1.5770504497991926e+18,4.209349972768669e+47,8
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.9290296780928594e+18,6.362816295010465e+48,1.20546556345536e+17,2.66265581233286e+47,1.20546556345536e+17,2.66265581233286e+47,9
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.9440307863100288e+18,3.220207414289403e+48,3999529347761152.0,1.4884318783648996e+46,3999529347761152.0,1.4884318783648996e+46,9
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.3528948566107003e+18,1.5084627390386155e+48,1635193807348992.0,3.67439425586053e+45,1635193807348992.0,3.67439425586053e+45,9
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,4.370078849905732e+19,1.2186099296758047e+49,2.819331225369895e+18,8.909902406310445e+47,2.819331225369895e+18,8.909902406310445e+47,9
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,8.496177878190238e+18,1.6397192085161473e+49,2.5684357078740685e+17,8.360627344712683e+47,2.5684357078740685e+17,8.360627344712683e+47,9
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,8.041055372192162e+18,2.1875290081168e+49,3.996707572507556e+17,1.4007381362032315e+48,3.996707572507556e+17,1.4007381362032315e+48,9
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.4081337735680565e+19,3.8415871386523474e+49,5.536143654572769e+17,1.8388423401300594e+48,5.536143654572769e+17,1.8388423401300594e+48,9
