,mjd,uJy,duJy,F,n,mag5sig
52,59491.389436,2.3333333333333335,7.760297817881877,o,3,19.927879017786125
53,59493.335855,-25.0,16.0,o,1,19.14227503252014
54,59497.454664,-4.666666666666667,8.86942313043338,o,3,19.7828365538469
55,59501.342925749996,13.0,8.077747210701755,o,4,19.884349344147054
56,59505.36969325,8.25,24.410550997468288,o,4,18.68363103299108
57,59506.420676,-11.75,25.3451178730737,o,4,18.642839200793414
58,59507.406601125,8.25,14.809730753798329,o,8,19.226207081750008
59,59509.34743875,8.25,12.874393189583733,o,4,19.37825806781394
60,59511.323836999996,34.714285714285715,8.358058557891471,o,7,19.847311465273247
61,59513.329673,18.333333333333332,8.472176684759223,o,3,19.832587478465253
62,59517.333021,19.25,6.896557112066861,o,4,20.055994146516642
63,59521.32978274999,13.0,7.026734661277598,o,4,20.035691103366805
64,59525.26634566666,27.0,7.731609003162134,o,3,19.931900281376123
65,59527.28020175,5.0,9.01041064547005,o,4,19.76571352863857
66,59529.298923,23.5,11.715374513859981,o,2,19.48068454775729
67,59531.3162975,22.0,30.805843601498726,o,2,18.430992223625836
68,59535.262111,47.0,154.0,o,1,16.683773187068795
69,59539.3095045,16.0,9.410765112359355,o,4,19.718512654670533
70,59541.251278,-5.0,9.457507306074072,o,3,19.713133275499274
71,59543.242012,5.333333333333333,6.565905201197403,o,3,20.10933846896635
72,59545.2904255,9.5,9.219544457292887,o,2,19.740801332017085
73,59551.224454333336,9.333333333333334,7.731609003162134,o,3,19.931900281376123
74,59557.205925,9.0,11.672617529928752,o,2,19.484654350474102
75,59561.3273315,19.0,28.30194339616981,o,2,18.523034344054654
76,59565.221598,23.0,12.91424708520701,o,3,19.37490226065502
77,59573.21669875,7.5,9.307255234493143,o,4,19.730520929635123
78,59587.23227671428,11.142857142857142,7.417574277569812,o,7,19.976920229366492
79,59593.2226505,6.0,18.062391868188442,o,4,19.01063683872703
80,59601.22067260001,37.4,15.859382081279207,o,5,19.15185933371081
81,59684.612257,9.6,20.229681164071767,o,5,18.887602394167622
82,59694.61589875,20.25,56.01450704951352,o,4,17.781823693268162
83,59695.614568,25.0,25.473024947971922,o,4,18.63737368680132
84,59708.596279000005,43.5,12.379418403139947,o,2,19.420824385171887
