,mjd,uJy,duJy,F,n,mag5sig
66,59843.19421133333,-6.666666666666667,7.505553499465134,o,3,19.96411817679244
67,59844.5282755,1.75,5.889609494694874,o,4,20.227358738576513
68,59848.427311499996,5.0,6.7638746292343415,o,4,20.077086116156867
69,59851.1619565,4.0,7.035623639735144,o,4,20.03431849049299
70,59855.217764,-14.25,8.031189202104505,o,4,19.890625345865868
71,59856.876500499995,0.0,8.551315688243536,o,4,19.822492640297156
72,59858.45663025,-1.25,8.06225774829855,o,4,19.886433293356383
73,59859.10485266667,15.0,21.819970465404186,o,3,18.805439593135088
74,59864.45798580001,-8.8,11.487384384619503,o,5,19.50202210556832
75,59866.4539102,-2.2,6.009991680526688,o,5,20.205390312108115
76,59867.49919733333,10.0,7.895146188218007,o,3,19.909174549388908
77,59868.398461000004,-5.0,6.294839156007086,o,4,20.155113395127692
78,59869.52985233333,-0.6666666666666666,7.378647873726218,o,3,19.982633025923466
79,59870.40406025,5.75,5.755432216610669,o,4,20.252380130478873
80,59872.891042999996,-4.5,11.313708498984761,o,2,19.518562527100116
81,59874.4412745,-10.5,7.0710678118654755,o,2,20.02886248373993
82,59876.882879000004,-0.75,6.656763477847174,o,4,20.094417173501025
83,59878.368645333336,0.0,8.27982823224948,o,3,19.857521670917556
84,59880.794698,-3.0,12.0,o,1,19.45462187404089
85,59882.377960750004,-4.75,5.129571132170798,o,4,20.377372347685274
86,59883.12666633333,5.0,6.5828058860438325,o,3,20.106547367175985
87,59884.501843750004,-0.75,7.660776723022281,o,4,19.94189297714722
88,59886.367823333334,-14.0,9.637888196533973,o,3,19.692620279160337
89,59892.74412483333,-26.666666666666668,11.74734012447073,o,6,19.477726131158406
90,59893.389358,5.5,13.124404748406688,o,2,19.35737595093537
91,59894.33895666667,-1.6666666666666667,8.306623862918075,o,3,19.854013625738382
92,59895.367393249995,-3.25,6.566962768281849,o,4,20.10916360405829
93,59896.39737575,4.5,7.079901129253148,o,4,20.027507007124655
94,59897.2727545,-0.25,6.149186938124422,o,4,20.18053074916427
95,59899.08110033334,9.666666666666666,7.9232428826698085,o,3,19.90531756618481
96,59900.336208249995,-3.25,6.519202405202649,o,4,20.11708882659706
