,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.251559175557177e+18,1.8814247974322512e+49,2.943822005629788e+17,2.4316632572711003e+48,2.943822005629788e+17,2.4316632572711003e+48,6
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.6091610963244636e+18,1.0336294629917924e+49,9210841587008256.0,1.627557975034229e+47,9210841587008256.0,1.627557975034229e+47,6
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.1222482220879077e+18,4.908958291708206e+48,4078720810913664.0,4.174433313307091e+46,4078720810913664.0,4.174433313307091e+46,6
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,3.514264713472197e+19,2.5344256552246884e+49,6.424606505186996e+18,4.685676644634961e+48,6.424606505186996e+18,4.685676644634961e+48,6
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,6.941453883190172e+18,4.831707357550444e+49,8.350061765704335e+17,8.495279649504018e+48,8.350061765704335e+17,8.495279649504018e+48,6
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,6.547919753696965e+18,5.73442114377143e+49,1.0790024776078367e+18,8.551990851034903e+48,1.0790024776078367e+18,8.551990851034903e+48,6
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.1613241921730136e+19,1.035828987966448e+50,1.1718161398801818e+18,1.2383218823359212e+49,1.1718161398801818e+18,1.2383218823359212e+49,6
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,6.595066113178774e+18,5.1879306204471746e+48,2.034402178049282e+18,1.3747796831490057e+48,2.034402178049282e+18,1.3747796831490057e+48,6
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.4528072043370615e+19,7.65395445326369e+48,4.3483795470720655e+18,2.0633869077537213e+48,4.3483795470720655e+18,2.0633869077537213e+48,6
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.511196079289268e+18,1.236430711418766e+49,2.7831710575925658e+17,1.1706664474742849e+48,2.7831710575925658e+17,1.1706664474742849e+48,7
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.728649381558955e+18,6.612778145510232e+48,8326095419304448.0,1.4736257428246618e+47,8326095419304448.0,1.4736257428246618e+47,7
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.2040788073310605e+18,3.123600333000415e+48,4054470057510144.0,2.73075317288069e+46,4054470057510144.0,2.73075317288069e+46,7
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,3.827530677392002e+19,1.8499866198246564e+49,7.278603602574156e+18,3.006169547212447e+48,7.278603602574156e+18,3.006169547212447e+48,7
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,7.51816405063015e+18,3.172455733777583e+49,8.840832422306355e+17,4.655446412752994e+48,8.840832422306355e+17,4.655446412752994e+48,7
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,6.938663704491958e+18,3.9822681451364417e+49,9.497948449351352e+17,6.808756750135978e+48,9.497948449351352e+17,6.808756750135978e+48,7
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.2067722506531762e+19,6.648955268715719e+49,1.4541370669706076e+18,6.615892900512029e+48,1.4541370669706076e+18,6.615892900512029e+48,7
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,7.048196978425407e+18,3.6985666333130495e+48,2.166558440931248e+18,1.0841989943947738e+48,2.166558440931248e+18,1.0841989943947738e+48,7
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.5113540127314401e+19,5.209109691482348e+48,3.994110200023341e+18,1.474033927514437e+48,3.994110200023341e+18,1.474033927514437e+48,7
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,3.758045165430102e+18,8.794703030603857e+48,3.639066230952279e+17,1.3231567006534137e+48,3.639066230952279e+17,1.3231567006534137e+48,8
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.8390666673737446e+18,4.492151466435187e+48,1.0793153435068928e+16,7.360016138701221e+46,1.0793153435068928e+16,7.360016138701221e+46,8
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.2812344179518065e+18,2.115051978013943e+48,6076015443425536.0,1.2527659973142676e+46,6076015443425536.0,1.2527659973142676e+46,8
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,4.042031047904287e+19,1.5123125678967455e+49,8.727033830238724e+18,3.3012004164291564e+48,8.727033830238724e+18,3.3012004164291564e+48,8
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,8.518671311594802e+18,2.3425093315171195e+49,7.983429351029647e+17,4.323953405228887e+48,7.983429351029647e+17,4.323953405228887e+48,8
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,7.644236494650722e+18,2.9923942778567234e+49,1.6866337313836913e+18,6.534688121550835e+48,1.6866337313836913e+18,6.534688121550835e+48,8
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.3386293973234663e+19,5.210377794619357e+49,1.8090081657555108e+18,7.789096240788711e+48,1.8090081657555108e+18,7.789096240788711e+48,8
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,7.646027869281241e+18,2.8868539031751752e+48,1.6389717240855818e+18,8.824282382887815e+47,1.6389717240855818e+18,8.824282382887815e+47,8
