name,day,date_mjd,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source
SDSS_J1241,2019-04-15T07:43:56.325000,58588.3221796875,S,3.0,GHz,1.4773150245048283,0.1265603977295219,mJy,False,VLASS 1.2,VLASS 1.2
SDSS_J1207,2017-11-24T13:59:04.875000,58081.5826953125,S,3.0,GHz,0.330088413550797,0.0,mJy,True,VLASS 1.1,VLASS 1.1
SDSS_J1207,2023-02-12T07:58:49.799999,59987.33252083332,S,3.0,GHz,0.365057275550094,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1207,2020-09-06T20:57:22.500000,59098.87317708333,S,3.0,GHz,0.42354332731071836,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1350,2020-09-17T23:58:41.700000,59109.99909375,S,3.0,GHz,0.4186913833731942,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1350,2017-10-01T23:16:15.375000,58027.96962239583,S,3.0,GHz,3.0934949969988055,0.9653954727168038,mJy,False,VLASS 1.1,VLASS 1.1
SDSS_J1350,2023-01-22T09:59:50.099998,59966.41655208331,S,3.0,GHz,0.3647374181745669,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1247,2021-12-24T12:48:27.900001,59572.53365625001,S,3.0,GHz,0.5582852257441426,0.139844916625952,mJy,False,VLASS 2.2,VLASS 2.2
SDSS_J1247,2019-05-15T05:23:04.875000,58618.22436197917,S,3.0,GHz,0.39326353228066413,0.0,mJy,True,VLASS 1.2,VLASS 1.2
SDSS_J1459,2021-11-14T13:54:55.799998,59532.57981249998,S,3.0,GHz,0.3648068038667769,0.0,mJy,True,VLASS 2.2,VLASS 2.2
SDSS_J1459,2019-04-14T10:31:28.425000,58587.4385234375,S,3.0,GHz,0.48013600483552765,0.0,mJy,True,VLASS 1.2,VLASS 1.2
SDSS_J0748,2019-05-16T18:09:35.774999,58619.75666406249,S,3.0,GHz,0.4201785007402317,0.0,mJy,True,VLASS 1.2,VLASS 1.2
SDSS_J0748,2021-11-24T09:56:47.850000,59542.41444270833,S,3.0,GHz,0.3185967719373201,0.0,mJy,True,VLASS 2.2,VLASS 2.2
SDSS_J1715,2020-08-03T06:23:11.400000,59064.266104166665,S,3.0,GHz,0.4996334712549717,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1715,2020-08-03T06:23:11.400000,59064.266104166665,S,3.0,GHz,0.4464136929691542,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1715,2017-09-13T01:37:07.275001,58009.06744531251,S,3.0,GHz,3.0614344634193884,0.7387910806823493,mJy,False,VLASS 1.1,VLASS 1.1
SDSS_J1715,2023-02-09T15:50:27.600000,59984.66004166667,S,3.0,GHz,0.3469323828880941,0.0,mJy,True,VLASS 3.1,VLASS 3.1
