,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
81,2018hyz,"['ATLAS18bafs', 'ASASSN-18zj', 'ZTF18acpdvos', '2018hyz', 'AT2018hyz']",151d42m43.272s,1d41m33.9144s,"['2022ApJ...938...28C', '2020MNRAS.497.1925G', '2020MNRAS.tmp.2047S', '2016A&A...594A..13P', '2017ApJ...835...64G', '2020MNRAS.498.4119S', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018ATel12218....1H', '2018TNSCR1764....1A', '2018TNSTR1708....1B', '2022ATel15307....1H', '2024MNRAS.527.7672S', '2024arXiv240712097A']",2018-10-14 00:00:00.000,0.0457266,True,False,/home/nfranz/radio-ecle/.otter/AT2018hyz.json
82,WTP17aamzew,['WTP17aamzew'],146d14m08.52s,31d05m52.2528s,"['2021ApJS..252...32J', '2022ApJS..258...21W', '2024ApJ...961..211M']",,0.03465,True,False,/home/nfranz/radio-ecle/.otter/WTP17aamzew.json
83,eRASSt J234403-352640,['eRASSt J234403-352640'],356d00m43.5s,-35d26m39.4s,"['2023A&A...672A.167H', '2024MNRAS.528.7123G']",2020-11-28 00:00:00.000,0.1,True,False,/home/nfranz/radio-ecle/.otter/eRASSt-J234403-352640.json
84,UGC 01791,['UGC 01791'],34d58m22.8s,28d14m52.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2005-01-09 00:00:00.000,0.015881,False,False,/home/nfranz/radio-ecle/.otter/UGC-01791.json
85,2019bhf,"['ZTF19aakswrb', '2019bhf', 'AT2019bhf']",227d18m59.6304s,16d14m22.524s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR.299....1F', '2024arXiv240712097A', '2020TNSCR2246....1D']",58526.545,0.1206,True,False,/home/nfranz/radio-ecle/.otter/AT2019bhf.json
86,2MASX J0249,"['XMMSL1 J024916.6-041244', '2MASX J0249']",42d19m19.2s,-4d12m54s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2007A&A...462L..49E', '2017ApJ...835...64G', '2016A&A...592A..74S', '2023PASP..135c4101G']",2004-07-24 00:00:00.000,0.0186,True,False,/home/nfranz/radio-ecle/.otter/2MASX-J0249.json
87,2022dsb,"['ASASSN-22cs', 'ATLAS22iav', 'ZTF22aadghqe', '2022dsb', 'AT2022dsb']",235d35m26.27736s,-22d40m14.08764s,"['2022TNSCR.584....1F', '2024MNRAS.527.2452M', '2024arXiv240712097A', '2022TNSTR.559....1S']",2022-03-01T13:40:47.000,0.023,True,False,/home/nfranz/radio-ecle/.otter/AT2022dsb.json
88,2018zr,"['2018zr', 'ATLAS18nej', 'AT2018zr (PS18kh)', 'AT2018zr', 'AT 2018zr', 'PS18kh']",119d13m38.2332s,34d15m43.6284s,"['2018arXiv180902608V', '2018arXiv180802890H', '2016A&A...594A..13P', '2011ApJ...737..103S', 'MAST', '2017ApJ...835...64G', 'ASAS-SN Supernovae', '2019ApJ...880..120H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2019ApJ...872..198V', '2019ApJ...879..119H', '2023PASP..135c4101G', '2018ASPC..517..737V', '2018TNSTR.296....1C', '2020SSRv..216...81A', '2023arXiv230813595C', '2024arXiv240712097A', '2020TNSCR2246....1D']",2018-03-06 00:00:00.000,0.071,True,False,/home/nfranz/radio-ecle/.otter/AT2018zr.json
89,AT2018bcb,['AT2018bcb'],340d55m43.065s,-16d59m08.49s,"['2020MNRAS.494.2538N', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2458235.62,0.1192,True,False,/home/nfranz/radio-ecle/.otter/AT2018bcb.json
90,2023clx,"['2023clx', 'ZTF18aabkvpi', 'ASASSN-23bd', 'AT2023clx']",175d02m21.0444s,15d19m38.55s,"['2024arXiv240111773C', '2024MNRAS.527.2452M', '2023TNSTR.421....1S', '2023TNSCR.438....1T']",59997.21,0.01107,True,False,/home/nfranz/radio-ecle/.otter/AT2023clx.json
